symbol,company,sector
ADANIGREEN,ADANI ENTERPRISES,MISCELLANEOUS
ADANIPORTS,ADANI PORTS & SEZ,MISCELLANEOUS
AIRTEL,BHARTI AIRTEL,TELECOM
APOLLOHOSP,APOLLO HOSPITALS,MISCELLANEOUS
ASIANPAINT,ASIAN PAINTS,PAINTS
AXISBANK,AXIS BANK,BANKING
BAJAJ-AUTO,BAJAJ AUTO,AUTOMOBILES
BAJAJFINSV,BAJAJ FINSERV,FINANCE
BAJFINANCE,BAJAJ FINANCE,FINANCE
BEL,BHARAT ELECTRONICS,DEFENCE
BPCL,BPCL,ENERGY
CIPLA,CIPLA,PHARMACEUTICALS
COALINDIA,COAL INDIA,MINING
DRREDDY,DR. REDDYS LAB,PHARMACEUTICALS
EICHERMOT,EICHER MOTORS,AUTOMOBILES
GRASIM,GRASIM,TEXTILES
HCLTECH,HCL TECHNOLOGIES,SOFTWARE
HDFCBANK,HDFC BANK,BANKING
HDFCLIFE,HDFC LIFE INSURANCE,INSURANCE
HEROMOTOCO,HERO MOTOCORP,AUTOMOBILES
HINDALCO,HINDALCO,ALUMINIUM
HINDUNILVR,HINDUSTAN UNILEVER,FMCG
ICICIBANK,ICICI BANK,BANKING
INDUSINDBK,INDUSIND BANK,BANKING
INFY,INFOSYS,SOFTWARE
IOC,IOC,ENERGY
ITC,ITC,FOOD & TOBACCO
JSWSTEEL,JSW STEEL,STEEL
KOTAKBANK,KOTAK MAHINDRA BANK,BANKING
LT,L&T,ENGINEERING
M&M,M&M,AUTOMOBILES
MARUTI,MARUTI SUZUKI,AUTOMOBILES
NESTLEIND,NESTLE,FOOD & TOBACCO
NTPC,NTPC,POWER
ONGC,ONGC,ENERGY
POWERGRID,POWER GRID,POWER
RELIANCE,RELIANCE IND.,ENERGY
SBILIFE,SBI LIFE INSURANCE,INSURANCE
SBIN,SBI,BANKING
SHRIRAMFIN,SHRIRAM FINANCE,FINANCE
SUNPHARMA,SUN PHARMA,PHARMACEUTICALS
TATACONSUMER,TATA CONSUMER,FMCG
TATAMOTORS,TATA MOTORS,AUTOMOBILES
TATASTEEL,TATA STEEL,STEEL
TCS,TCS,SOFTWARE
TECHM,TECH MAHINDRA,SOFTWARE
TITAN,TITAN,RETAILING
TRENT,TRENT,RETAILING
ULTRACEMCO,ULTRATECH CEMENT,CEMENT
WIPRO,WIPRO,SOFTWARE
