symbol,month,monthly_return,direction
NESTLEIND,2023-10,0.08602208360220831,gainer
COALINDIA,2023-10,0.07656731757451185,gainer
BAJAJ-AUTO,2023-10,0.059324821337798817,gainer
SBILIFE,2023-10,0.05833881388061424,gainer
TRENT,2023-10,0.04642805109028214,gainer
TRENT,2023-11,0.268172820967852,gainer
HEROMOTOCO,2023-11,0.23495933644844724,gainer
BPCL,2023-11,0.2207901372933596,gainer
EICHERMOT,2023-11,0.18726483357452972,gainer
APOLLOHOSP,2023-11,0.15269308148565108,gainer
BEL,2023-12,0.24923702950152604,gainer
ADANIPORTS,2023-12,0.23743657888378822,gainer
ADANIENT,2023-12,0.20580268337072005,gainer
HINDALCO,2023-12,0.18880510440835252,gainer
ULTRACEMCO,2023-12,0.16262722980788924,gainer
ONGC,2024-01,0.22839055271487707,gainer
SHRIRAMFIN,2024-01,0.20399248358835465,gainer
BHARTIARTL,2024-01,0.15561916983367063,gainer
ADANIPORTS,2024-01,0.15250274371331796,gainer
BAJAJ-AUTO,2024-01,0.14422259032099194,gainer
TRENT,2024-02,0.25106355549825965,gainer
BPCL,2024-02,0.18762537859418638,gainer
M&M,2024-02,0.17033582654513513,gainer
SBIN,2024-02,0.1550992048174169,gainer
SUNPHARMA,2024-02,0.12074292410952103,gainer
BAJAJ-AUTO,2024-03,0.137822525979316,gainer
BAJFINANCE,2024-03,0.1025344482572339,gainer
BHARTIARTL,2024-03,0.08850890404890577,gainer
MARUTI,2024-03,0.08427882402041131,gainer
HINDALCO,2024-03,0.07927181660566363,gainer
EICHERMOT,2024-04,0.16488667604170604,gainer
TRENT,2024-04,0.13458371925491397,gainer
HINDALCO,2024-04,0.13330988392543075,gainer
M&M,2024-04,0.1254730029489286,gainer
BEL,2024-04,0.10729512079583148,gainer
BEL,2024-05,0.260702875399361,gainer
M&M,2024-05,0.14694643388325734,gainer
HEROMOTOCO,2024-05,0.12235010413241265,gainer
ADANIENT,2024-05,0.1223022766153441,gainer
BRITANNIA,2024-05,0.08827329740632206,gainer
TRENT,2024-06,0.175378576637639,gainer
SHRIRAMFIN,2024-06,0.16035310762608845,gainer
WIPRO,2024-06,0.1593109659986489,gainer
TECHM,2024-06,0.14855261573051748,gainer
GRASIM,2024-06,0.12734295845997967,gainer
ONGC,2024-07,0.22440007327349343,gainer
HDFCLIFE,2024-07,0.1910112359550562,gainer
INFY,2024-07,0.1744091023384462,gainer
SBILIFE,2024-07,0.16765988614042704,gainer
ITC,2024-07,0.15452744435380494,gainer
TRENT,2024-08,0.24051258057808278,gainer
BAJAJ-AUTO,2024-08,0.11932069266738599,gainer
BAJAJFINSV,2024-08,0.09068387570345005,gainer
SHRIRAMFIN,2024-08,0.0720080287697582,gainer
CIPLA,2024-08,0.07030138403828734,gainer
M&M,2024-09,0.11447605329492272,gainer
BAJAJ-AUTO,2024-09,0.1096385975319294,gainer
SHRIRAMFIN,2024-09,0.10904581040229444,gainer
HINDALCO,2024-09,0.10571721011843849,gainer
TATASTEEL,2024-09,0.10249869178440618,gainer
SBIN,2024-10,0.02917372482589875,gainer
HDFCLIFE,2024-10,0.014010137989298732,gainer
ICICIBANK,2024-10,0.014006591337099694,gainer
WIPRO,2024-10,0.009236396890717868,gainer
HDFCBANK,2024-10,0.005503417912177122,gainer
TECHM,2024-11,0.08967043931032337,gainer
